fips,stateabbr,statedesc,locationname,measure,data_value_type,asthma_prevalence_pct
02220,AK,Alaska,Sitka,Current asthma among adults,Age-adjusted prevalence,10.1
05109,AR,Arkansas,Pike,Current asthma among adults,Age-adjusted prevalence,10.3
01075,AL,Alabama,Lamar,Current asthma among adults,Age-adjusted prevalence,10.5
06025,CA,California,Imperial,Current asthma among adults,Age-adjusted prevalence,9.2
01007,AL,Alabama,Bibb,Current asthma among adults,Age-adjusted prevalence,10.4
01021,AL,Alabama,Chilton,Current asthma among adults,Age-adjusted prevalence,10.0
05123,AR,Arkansas,St. Francis,Current asthma among adults,Age-adjusted prevalence,11.0
05009,AR,Arkansas,Boone,Current asthma among adults,Age-adjusted prevalence,10.4
02164,AK,Alaska,Lake and Peninsula,Current asthma among adults,Age-adjusted prevalence,12.5
06007,CA,California,Butte,Current asthma among adults,Age-adjusted prevalence,10.5
01037,AL,Alabama,Coosa,Current asthma among adults,Age-adjusted prevalence,10.5
01123,AL,Alabama,Tallapoosa,Current asthma among adults,Age-adjusted prevalence,10.5
05127,AR,Arkansas,Scott,Current asthma among adults,Age-adjusted prevalence,10.4
05075,AR,Arkansas,Lawrence,Current asthma among adults,Age-adjusted prevalence,10.8
05023,AR,Arkansas,Cleburne,Current asthma among adults,Age-adjusted prevalence,10.4
04021,AZ,Arizona,Pinal,Current asthma among adults,Age-adjusted prevalence,10.9
06035,CA,California,Lassen,Current asthma among adults,Age-adjusted prevalence,10.3
05027,AR,Arkansas,Columbia,Current asthma among adults,Age-adjusted prevalence,11.1
01091,AL,Alabama,Marengo,Current asthma among adults,Age-adjusted prevalence,11.1
05133,AR,Arkansas,Sevier,Current asthma among adults,Age-adjusted prevalence,10.2
06043,CA,California,Mariposa,Current asthma among adults,Age-adjusted prevalence,10.6
05065,AR,Arkansas,Izard,Current asthma among adults,Age-adjusted prevalence,10.5
01023,AL,Alabama,Choctaw,Current asthma among adults,Age-adjusted prevalence,11.1
01039,AL,Alabama,Covington,Current asthma among adults,Age-adjusted prevalence,10.4
06051,CA,California,Mono,Current asthma among adults,Age-adjusted prevalence,9.9
01053,AL,Alabama,Escambia,Current asthma among adults,Age-adjusted prevalence,11.0
02016,AK,Alaska,Aleutians West,Current asthma among adults,Age-adjusted prevalence,7.8
05017,AR,Arkansas,Chicot,Current asthma among adults,Age-adjusted prevalence,11.1
05129,AR,Arkansas,Searcy,Current asthma among adults,Age-adjusted prevalence,10.9
06065,CA,California,Riverside,Current asthma among adults,Age-adjusted prevalence,9.5
05061,AR,Arkansas,Howard,Current asthma among adults,Age-adjusted prevalence,10.7
02100,AK,Alaska,Haines,Current asthma among adults,Age-adjusted prevalence,10.3
05069,AR,Arkansas,Jefferson,Current asthma among adults,Age-adjusted prevalence,11.3
01001,AL,Alabama,Autauga,Current asthma among adults,Age-adjusted prevalence,10.0
01043,AL,Alabama,Cullman,Current asthma among adults,Age-adjusted prevalence,9.9
01105,AL,Alabama,Perry,Current asthma among adults,Age-adjusted prevalence,12.2
05063,AR,Arkansas,Independence,Current asthma among adults,Age-adjusted prevalence,10.5
01103,AL,Alabama,Morgan,Current asthma among adults,Age-adjusted prevalence,9.9
01033,AL,Alabama,Colbert,Current asthma among adults,Age-adjusted prevalence,10.4
05057,AR,Arkansas,Hempstead,Current asthma among adults,Age-adjusted prevalence,10.8
01071,AL,Alabama,Jackson,Current asthma among adults,Age-adjusted prevalence,10.4
01117,AL,Alabama,Shelby,Current asthma among adults,Age-adjusted prevalence,9.4
01085,AL,Alabama,Lowndes,Current asthma among adults,Age-adjusted prevalence,11.8
01005,AL,Alabama,Barbour,Current asthma among adults,Age-adjusted prevalence,10.9
06061,CA,California,Placer,Current asthma among adults,Age-adjusted prevalence,10.0
05113,AR,Arkansas,Polk,Current asthma among adults,Age-adjusted prevalence,10.6
02060,AK,Alaska,Bristol Bay,Current asthma among adults,Age-adjusted prevalence,11.1
02275,AK,Alaska,Wrangell,Current asthma among adults,Age-adjusted prevalence,11.0
05091,AR,Arkansas,Miller,Current asthma among adults,Age-adjusted prevalence,11.1
05143,AR,Arkansas,Washington,Current asthma among adults,Age-adjusted prevalence,10.2
02195,AK,Alaska,Petersburg,Current asthma among adults,Age-adjusted prevalence,10.0
04009,AZ,Arizona,Graham,Current asthma among adults,Age-adjusted prevalence,11.2
05013,AR,Arkansas,Calhoun,Current asthma among adults,Age-adjusted prevalence,10.4
05071,AR,Arkansas,Johnson,Current asthma among adults,Age-adjusted prevalence,10.4
05131,AR,Arkansas,Sebastian,Current asthma among adults,Age-adjusted prevalence,10.3
06003,CA,California,Alpine,Current asthma among adults,Age-adjusted prevalence,10.5
02240,AK,Alaska,Southeast Fairbanks,Current asthma among adults,Age-adjusted prevalence,10.1
01121,AL,Alabama,Talladega,Current asthma among adults,Age-adjusted prevalence,10.7
06029,CA,California,Kern,Current asthma among adults,Age-adjusted prevalence,10.3
