fips,state,county,pm25_mean,monitor_count,total_observations
01003,Alabama,Baldwin,7.673528086178262,1.0,10838.0
01027,Alabama,Clay,8.082885317883937,1.0,10529.0
01049,Alabama,DeKalb,8.93470740686922,1.0,11355.0
01055,Alabama,Etowah,9.838832423664467,1.0,11063.0
01073,Alabama,Jefferson,10.059637833878753,5.0,48892.0
01089,Alabama,Madison,8.93424648538067,1.0,42136.0
01097,Alabama,Mobile,8.825770662398558,1.0,11090.0
01101,Alabama,Montgomery,10.347595752309303,1.0,10501.0
01103,Alabama,Morgan,7.390570522621137,1.0,33619.0
01113,Alabama,Russell,9.318662128757515,1.0,3992.0
01119,Alabama,Sumter,5.4256470618408,1.0,11093.0
01125,Alabama,Tuscaloosa,8.00790744977019,1.0,10661.0
02020,Alaska,Anchorage ,4.251623160915614,1.0,11708.0
02090,Alaska,Fairbanks North Star ,8.886827830228844,3.0,30064.0
02110,Alaska,Juneau ,5.07802140868171,1.0,32436.0
02170,Alaska,Matanuska-Susitna ,4.071681677771807,1.0,11166.0
04001,Arizona,Apache,2.684112205607477,1.0,856.0
04012,Arizona,La Paz,2.3701063574090506,1.0,11270.0
04013,Arizona,Maricopa,7.863501487030849,10.0,193035.0
04019,Arizona,Pima,6.3764953815617265,3.0,34385.0
04021,Arizona,Pinal,6.849654545275892,3.0,32567.0
04023,Arizona,Santa Cruz,7.612683608880211,1.0,11779.0
04027,Arizona,Yuma,8.014924005361932,1.0,11190.0
05001,Arkansas,Arkansas,8.655833,1.0,960.0
05003,Arkansas,Ashley,8.636666633333334,1.0,960.0
05035,Arkansas,Crittenden,8.791736,1.0,968.0
05051,Arkansas,Garland,8.898425023622046,1.0,1016.0
05067,Arkansas,Jackson,8.980000383333334,1.0,960.0
05113,Arkansas,Polk,8.765000000000002,1.0,960.0
05119,Arkansas,Pulaski,10.799764601480176,2.0,40806.0
05139,Arkansas,Union,9.651851643874643,1.0,2808.0
05143,Arkansas,Washington,7.59375,1.0,768.0
06001,California,Alameda,6.968085812942464,7.0,72181.0
06007,California,Butte,7.913481679882713,1.0,31376.0
06009,California,Calaveras,5.60791226523077,1.0,11375.0
06011,California,Colusa,10.646984312,2.0,25000.0
06013,California,Contra Costa,8.189412094785682,2.0,22630.0
06019,California,Fresno,9.004871011721637,6.0,78402.0
06023,California,Humboldt,14.692623857773855,2.0,9056.0
06025,California,Imperial,8.816319016054672,3.0,31019.0
06027,California,Inyo,5.55606970063745,5.0,138207.0
06029,California,Kern,8.422461152599322,6.0,37202.0
06031,California,Kings,11.307247602951445,2.0,22904.0
06033,California,Lake,4.123333,1.0,480.0
06037,California,Los Angeles,9.901022694655563,8.0,57892.0
06039,California,Madera,9.966420962661354,1.0,11543.0
06041,California,Marin,5.397270042440785,1.0,11357.0
06045,California,Mendocino,9.473103687404668,2.0,21635.0
06047,California,Merced,9.03817269301255,2.0,23027.0
06051,California,Mono,3.5303008804851412,2.0,33887.0
06053,California,Monterey,5.501145716235281,3.0,34733.0
06057,California,Nevada,4.790440839515917,1.0,11403.0
06059,California,Orange,9.727426682427456,1.0,13578.0
06061,California,Placer,6.525074935154187,2.0,22700.0
06063,California,Plumas,9.668174262800488,2.0,22089.0
06065,California,Riverside,9.307452347352164,6.0,89998.0
06067,California,Sacramento,7.486306298660705,5.0,68469.0
06069,California,San Benito,4.1102526474034615,1.0,11265.0
06071,California,San Bernardino,9.05272196151547,5.0,48513.0
06073,California,San Diego,8.12532646951851,11.0,254876.0
06075,California,San Francisco,6.457199946069995,1.0,10458.0
06077,California,San Joaquin,9.398235590844845,2.0,21933.0
06079,California,San Luis Obispo,4.887539057347198,4.0,45582.0
06081,California,San Mateo,4.489847618274111,1.0,1970.0
06083,California,Santa Barbara,5.5601422056982095,5.0,47278.0
06085,California,Santa Clara,6.733190420073474,3.0,34025.0
06087,California,Santa Cruz,5.354137626262626,2.0,22572.0
06089,California,Shasta,6.898796824416518,1.0,11140.0
06093,California,Siskiyou,10.971938757254067,1.0,11304.0
06095,California,Solano,6.1916982054431715,1.0,21899.0
06097,California,Sonoma,5.0581074088397795,1.0,11403.0
06099,California,Stanislaus,10.410369093235913,2.0,22856.0
06101,California,Sutter,8.501549458572242,1.0,22847.0
06103,California,Tehama,6.145537517289557,1.0,11452.0
06107,California,Tulare,10.702270024679951,2.0,30308.0
06111,California,Ventura,5.895059879197078,5.0,68500.0
06113,California,Yolo,7.710154800382434,1.0,29286.0
08001,Colorado,Adams,8.28701921645495,1.0,11887.0
08003,Colorado,Alamosa,8.292584,1.0,2144.0
08005,Colorado,Arapahoe,5.378632,1.0,936.0
