fips,stateabbr,statedesc,locationname,measure,data_value_type,asthma_prevalence_pct,state,county,pm25_mean,monitor_count,total_observations
06025,CA,California,Imperial,Current asthma among adults,Age-adjusted prevalence,9.2,California,Imperial,8.816319016054672,3.0,31019.0
06007,CA,California,Butte,Current asthma among adults,Age-adjusted prevalence,10.5,California,Butte,7.913481679882713,1.0,31376.0
04021,AZ,Arizona,Pinal,Current asthma among adults,Age-adjusted prevalence,10.9,Arizona,Pinal,6.849654545275892,3.0,32567.0
06051,CA,California,Mono,Current asthma among adults,Age-adjusted prevalence,9.9,California,Mono,3.5303008804851412,2.0,33887.0
06065,CA,California,Riverside,Current asthma among adults,Age-adjusted prevalence,9.5,California,Riverside,9.307452347352164,6.0,89998.0
01103,AL,Alabama,Morgan,Current asthma among adults,Age-adjusted prevalence,9.9,Alabama,Morgan,7.390570522621137,1.0,33619.0
06061,CA,California,Placer,Current asthma among adults,Age-adjusted prevalence,10.0,California,Placer,6.525074935154187,2.0,22700.0
05113,AR,Arkansas,Polk,Current asthma among adults,Age-adjusted prevalence,10.6,Arkansas,Polk,8.765000000000002,1.0,960.0
05143,AR,Arkansas,Washington,Current asthma among adults,Age-adjusted prevalence,10.2,Arkansas,Washington,7.59375,1.0,768.0
06029,CA,California,Kern,Current asthma among adults,Age-adjusted prevalence,10.3,California,Kern,8.422461152599322,6.0,37202.0
06033,CA,California,Lake,Current asthma among adults,Age-adjusted prevalence,10.9,California,Lake,4.123333,1.0,480.0
06069,CA,California,San Benito,Current asthma among adults,Age-adjusted prevalence,9.1,California,San Benito,4.1102526474034615,1.0,11265.0
04001,AZ,Arizona,Apache,Current asthma among adults,Age-adjusted prevalence,14.4,Arizona,Apache,2.684112205607477,1.0,856.0
06047,CA,California,Merced,Current asthma among adults,Age-adjusted prevalence,9.8,California,Merced,9.03817269301255,2.0,23027.0
02110,AK,Alaska,Juneau,Current asthma among adults,Age-adjusted prevalence,10.2,Alaska,Juneau ,5.07802140868171,1.0,32436.0
06009,CA,California,Calaveras,Current asthma among adults,Age-adjusted prevalence,10.5,California,Calaveras,5.60791226523077,1.0,11375.0
01125,AL,Alabama,Tuscaloosa,Current asthma among adults,Age-adjusted prevalence,10.2,Alabama,Tuscaloosa,8.00790744977019,1.0,10661.0
05035,AR,Arkansas,Crittenden,Current asthma among adults,Age-adjusted prevalence,11.6,Arkansas,Crittenden,8.791736,1.0,968.0
01073,AL,Alabama,Jefferson,Current asthma among adults,Age-adjusted prevalence,9.9,Alabama,Jefferson,10.059637833878753,5.0,48892.0
06053,CA,California,Monterey,Current asthma among adults,Age-adjusted prevalence,9.6,California,Monterey,5.501145716235281,3.0,34733.0
06039,CA,California,Madera,Current asthma among adults,Age-adjusted prevalence,10.4,California,Madera,9.966420962661354,1.0,11543.0
01003,AL,Alabama,Baldwin,Current asthma among adults,Age-adjusted prevalence,9.4,Alabama,Baldwin,7.673528086178262,1.0,10838.0
05001,AR,Arkansas,Arkansas,Current asthma among adults,Age-adjusted prevalence,10.8,Arkansas,Arkansas,8.655833,1.0,960.0
06057,CA,California,Nevada,Current asthma among adults,Age-adjusted prevalence,10.4,California,Nevada,4.790440839515917,1.0,11403.0
05139,AR,Arkansas,Union,Current asthma among adults,Age-adjusted prevalence,11.0,Arkansas,Union,9.651851643874643,1.0,2808.0
04012,AZ,Arizona,La Paz,Current asthma among adults,Age-adjusted prevalence,11.4,Arizona,La Paz,2.3701063574090506,1.0,11270.0
01055,AL,Alabama,Etowah,Current asthma among adults,Age-adjusted prevalence,10.3,Alabama,Etowah,9.838832423664467,1.0,11063.0
05067,AR,Arkansas,Jackson,Current asthma among adults,Age-adjusted prevalence,11.0,Arkansas,Jackson,8.980000383333334,1.0,960.0
06059,CA,California,Orange,Current asthma among adults,Age-adjusted prevalence,9.0,California,Orange,9.727426682427456,1.0,13578.0
05119,AR,Arkansas,Pulaski,Current asthma among adults,Age-adjusted prevalence,10.3,Arkansas,Pulaski,10.799764601480176,2.0,40806.0
01113,AL,Alabama,Russell,Current asthma among adults,Age-adjusted prevalence,11.1,Alabama,Russell,9.318662128757515,1.0,3992.0
05051,AR,Arkansas,Garland,Current asthma among adults,Age-adjusted prevalence,10.3,Arkansas,Garland,8.898425023622046,1.0,1016.0
06011,CA,California,Colusa,Current asthma among adults,Age-adjusted prevalence,9.8,California,Colusa,10.646984312,2.0,25000.0
04013,AZ,Arizona,Maricopa,Current asthma among adults,Age-adjusted prevalence,10.1,Arizona,Maricopa,7.863501487030849,10.0,193035.0
06037,CA,California,Los Angeles,Current asthma among adults,Age-adjusted prevalence,9.0,California,Los Angeles,9.901022694655563,8.0,57892.0
06023,CA,California,Humboldt,Current asthma among adults,Age-adjusted prevalence,11.0,California,Humboldt,14.692623857773855,2.0,9056.0
05003,AR,Arkansas,Ashley,Current asthma among adults,Age-adjusted prevalence,11.2,Arkansas,Ashley,8.636666633333334,1.0,960.0
06031,CA,California,Kings,Current asthma among adults,Age-adjusted prevalence,9.7,California,Kings,11.307247602951445,2.0,22904.0
01119,AL,Alabama,Sumter,Current asthma among adults,Age-adjusted prevalence,11.7,Alabama,Sumter,5.4256470618408,1.0,11093.0
06001,CA,California,Alameda,Current asthma among adults,Age-adjusted prevalence,8.8,California,Alameda,6.968085812942464,7.0,72181.0
06041,CA,California,Marin,Current asthma among adults,Age-adjusted prevalence,9.5,California,Marin,5.397270042440785,1.0,11357.0
04023,AZ,Arizona,Santa Cruz,Current asthma among adults,Age-adjusted prevalence,9.5,Arizona,Santa Cruz,7.612683608880211,1.0,11779.0
02020,AK,Alaska,Anchorage,Current asthma among adults,Age-adjusted prevalence,10.6,Alaska,Anchorage ,4.251623160915614,1.0,11708.0
01101,AL,Alabama,Montgomery,Current asthma among adults,Age-adjusted prevalence,10.8,Alabama,Montgomery,10.347595752309303,1.0,10501.0
06071,CA,California,San Bernardino,Current asthma among adults,Age-adjusted prevalence,9.8,California,San Bernardino,9.05272196151547,5.0,48513.0
01049,AL,Alabama,DeKalb,Current asthma among adults,Age-adjusted prevalence,10.1,Alabama,DeKalb,8.93470740686922,1.0,11355.0
04027,AZ,Arizona,Yuma,Current asthma among adults,Age-adjusted prevalence,9.8,Arizona,Yuma,8.014924005361932,1.0,11190.0
01089,AL,Alabama,Madison,Current asthma among adults,Age-adjusted prevalence,9.4,Alabama,Madison,8.93424648538067,1.0,42136.0
02170,AK,Alaska,Matanuska-Susitna,Current asthma among adults,Age-adjusted prevalence,10.7,Alaska,Matanuska-Susitna ,4.071681677771807,1.0,11166.0
01027,AL,Alabama,Clay,Current asthma among adults,Age-adjusted prevalence,10.6,Alabama,Clay,8.082885317883937,1.0,10529.0
06067,CA,California,Sacramento,Current asthma among adults,Age-adjusted prevalence,10.2,California,Sacramento,7.486306298660705,5.0,68469.0
06027,CA,California,Inyo,Current asthma among adults,Age-adjusted prevalence,10.4,California,Inyo,5.55606970063745,5.0,138207.0
04019,AZ,Arizona,Pima,Current asthma among adults,Age-adjusted prevalence,11.0,Arizona,Pima,6.3764953815617265,3.0,34385.0
06013,CA,California,Contra Costa,Current asthma among adults,Age-adjusted prevalence,9.4,California,Contra Costa,8.189412094785682,2.0,22630.0
06063,CA,California,Plumas,Current asthma among adults,Age-adjusted prevalence,11.0,California,Plumas,9.668174262800488,2.0,22089.0
06019,CA,California,Fresno,Current asthma among adults,Age-adjusted prevalence,9.8,California,Fresno,9.004871011721637,6.0,78402.0
06045,CA,California,Mendocino,Current asthma among adults,Age-adjusted prevalence,10.7,California,Mendocino,9.473103687404668,2.0,21635.0
02090,AK,Alaska,Fairbanks North Star,Current asthma among adults,Age-adjusted prevalence,10.0,Alaska,Fairbanks North Star ,8.886827830228844,3.0,30064.0
01097,AL,Alabama,Mobile,Current asthma among adults,Age-adjusted prevalence,9.8,Alabama,Mobile,8.825770662398558,1.0,11090.0
12031,FL,Florida,Duval,Current asthma among adults,Age-adjusted prevalence,10.3,Florida,Duval,7.846891825791171,4.0,96281.0
13139,GA,Georgia,Hall,Current asthma among adults,Age-adjusted prevalence,9.5,Georgia,Hall,10.632444134919268,1.0,29047.0
12127,FL,Florida,Volusia,Current asthma among adults,Age-adjusted prevalence,10.1,Florida,Volusia,7.992396689148823,1.0,31803.0
06077,CA,California,San Joaquin,Current asthma among adults,Age-adjusted prevalence,9.5,California,San Joaquin,9.398235590844845,2.0,21933.0
06073,CA,California,San Diego,Current asthma among adults,Age-adjusted prevalence,8.9,California,San Diego,8.12532646951851,11.0,254876.0
06111,CA,California,Ventura,Current asthma among adults,Age-adjusted prevalence,9.5,California,Ventura,5.895059879197078,5.0,68500.0
13121,GA,Georgia,Fulton,Current asthma among adults,Age-adjusted prevalence,9.4,Georgia,Fulton,10.186249752083334,2.0,3840.0
13127,GA,Georgia,Glynn,Current asthma among adults,Age-adjusted prevalence,10.3,Georgia,Glynn,8.410685500484766,1.0,34037.0
06095,CA,California,Solano,Current asthma among adults,Age-adjusted prevalence,10.1,California,Solano,6.1916982054431715,1.0,21899.0
10003,DE,Delaware,New Castle,Current asthma among adults,Age-adjusted prevalence,10.4,Delaware,New Castle,9.678962201380294,5.0,143013.0
06079,CA,California,San Luis Obispo,Current asthma among adults,Age-adjusted prevalence,10.0,California,San Luis Obispo,4.887539057347198,4.0,45582.0
13089,GA,Georgia,DeKalb,Current asthma among adults,Age-adjusted prevalence,10.3,Georgia,DeKalb,10.232957259753677,1.0,36781.0
